symbol,entry_date,entry_price,exit_date,exit_price,shares,pnl_dollars,return_pct,exit_reason,days_held
ADI,2021-01-04,148.45,2022-01-20,163.82,67,1029.79,10.35,ema220_break,381
AMAT,2021-01-07,92.13,2022-01-26,137.71,108,4922.64,49.47,ema220_break,384
KLAC,2021-01-08,282.22,2022-02-23,359.33,35,2698.85,27.32,ema220_break,411
MCHP,2021-01-08,75.835,2021-07-16,69.05,132,-895.62,-8.95,ema220_break,189
LRCX,2021-01-08,51.4,2021-10-05,55.668,195,832.26,8.3,ema220_break,270
ORLY,2021-01-12,32.1653,2021-01-28,28.9013,315,-1028.16,-10.15,ema220_break,16
FTNT,2021-01-13,30.73,2022-01-26,56.36,333,8534.79,83.4,ema220_break,378
AXON,2021-01-13,136.67,2021-05-13,124.56,74,-896.14,-8.86,ema220_break,120
GOOG,2021-01-21,94.9,2022-01-24,126.0275,111,3455.15,32.8,ema220_break,368
KDP,2021-01-28,33.15,2021-10-04,33.02,301,-39.13,-0.39,ema220_break,249
CHTR,2021-05-17,708.9,2021-10-13,697.13,15,-176.55,-1.66,ema220_break,149
ROP,2021-07-16,486.66,2022-01-11,451.99,24,-832.08,-7.12,ema220_break,179
NFLX,2021-10-04,61.339,2022-01-06,55.434,194,-1145.57,-9.63,ema220_break,94
FANG,2021-10-12,110.6,2022-06-24,121.55,107,1171.65,9.9,ema220_break,255
CSX,2022-01-07,37.58,2022-02-14,33.42,337,-1401.92,-11.07,ema220_break,38
KDP,2022-01-13,38.05,2022-05-18,35.91,335,-716.9,-5.62,ema220_break,125
NXPI,2022-01-26,28.11,2022-06-23,29.58,413,607.11,5.23,ema220_break,148
BKR,2022-01-26,28.11,2022-06-23,29.58,413,607.11,5.23,ema220_break,148
PCAR,2022-01-26,28.11,2022-06-23,29.58,413,607.11,5.23,ema220_break,148
MAR,2022-02-09,172.56,2022-03-08,148.92,67,-1583.88,-13.7,ema220_break,27
BKNG,2022-02-17,106.5924,2022-02-25,92.7704,113,-1561.89,-12.97,ema220_break,8
CSX,2022-03-31,37.83,2022-04-27,34.21,334,-1209.08,-9.57,ema220_break,27
PAYX,2022-04-04,139.26,2022-05-12,117.45,89,-1941.09,-15.66,stop_loss,38
MAR,2022-04-20,189.0,2022-05-19,153.29,65,-2321.15,-18.89,stop_loss,29
ADP,2022-08-09,248.74,2022-10-13,219.58,43,-1253.88,-11.72,ema220_break,65
SNPS,2022-08-11,380.08,2022-09-16,310.79,28,-1940.12,-18.23,stop_loss,36
